사고다발지역시도시군구,위도,경도,사고다발지역폴리곤정보
서울특별시 강서구4,37.546783,126.86003,"POLYGON ((126.86182652 37.54678319, 126.861792 37.54650529, 126.86168976 37.54623807, 126.86152374 37.54599179, 126.8613003 37.54577593, 126.86102805 37.54559878, 126.86071743 37.54546714, 126.8603804 37.54538608, 126.86002989 37.54535871, 126.85967939 37.54538608, 126.85934235 37.54546714, 126.85903174 37.54559878, 126.85875948 37.54577593, 126.85853605 37.54599179, 126.85837002 37.54623807, 126.85826778 37.54650529, 126.85823326 37.54678319, 126.85826778 37.54706109, 126.85837002 37.54732831, 126.85853605 37.54757458, 126.85875948 37.54779043, 126.85903174 37.54796758, 126.85934235 37.54809922, 126.85967939 37.54818027, 126.86002989 37.54820765, 126.8603804 37.54818027, 126.86071743 37.54809922, 126.86102805 37.54796758, 126.8613003 37.54779043, 126.86152374 37.54757458, 126.86168976 37.54732831, 126.861792 37.54706109, 126.86182652 37.54678319))"
서울특별시 구로구1,37.507329,126.893677,"POLYGON ((126.89547351 37.50732852, 126.89543899 37.50705047, 126.89533675 37.50678311, 126.89517072 37.5065367, 126.89494729 37.50632073, 126.89467503 37.50614348, 126.89436442 37.50601177, 126.89402738 37.50593067, 126.89367688 37.50590328, 126.89332637 37.50593067, 126.89298934 37.50601177, 126.89267872 37.50614348, 126.89240647 37.50632073, 126.89218303 37.5065367, 126.89201701 37.50678311, 126.89191477 37.50705047, 126.89188025 37.50732852, 126.89191477 37.50760657, 126.89201701 37.50787393, 126.89218303 37.50812033, 126.89240647 37.5083363, 126.89267872 37.50851354, 126.89298934 37.50864524, 126.89332637 37.50872634, 126.89367688 37.50875373, 126.89402738 37.50872634, 126.89436442 37.50864524, 126.89467503 37.50851354, 126.89494729 37.5083363, 126.89517072 37.50812033, 126.89533675 37.50787393, 126.89543899 37.50760657, 126.89547351 37.50732852))"
서울특별시 구로구2,37.497455,126.892645,"POLYGON ((126.89444186 37.49745453, 126.89440734 37.49717645, 126.8943051 37.49690905, 126.89413907 37.49666261, 126.89391564 37.49644661, 126.89364338 37.49626934, 126.89333277 37.49613761, 126.89299573 37.4960565, 126.89264523 37.49602911, 126.89229472 37.4960565, 126.89195769 37.49613761, 126.89164707 37.49626934, 126.89137482 37.49644661, 126.89115138 37.49666261, 126.89098536 37.49690905, 126.89088312 37.49717645, 126.8908486 37.49745453, 126.89088312 37.49773262, 126.89098536 37.49800001, 126.89115138 37.49824645, 126.89137482 37.49846244, 126.89164707 37.49863971, 126.89195769 37.49877143, 126.89229472 37.49885254, 126.89264523 37.49887993, 126.89299573 37.49885254, 126.89333277 37.49877143, 126.89364338 37.49863971, 126.89391564 37.49846244, 126.89413907 37.49824645, 126.8943051 37.49800001, 126.89440734 37.49773262, 126.89444186 37.49745453))"
서울특별시 구로구3,37.508012,126.886498,"POLYGON ((126.88829421 37.50801244, 126.88825969 37.50773439, 126.88815745 37.50746703, 126.88799143 37.50722063, 126.88776799 37.50700466, 126.88749574 37.50682741, 126.88718512 37.50669571, 126.88684809 37.5066146, 126.88649758 37.50658722, 126.88614708 37.5066146, 126.88581004 37.50669571, 126.88549943 37.50682741, 126.88522717 37.50700466, 126.88500374 37.50722063, 126.88483771 37.50746703, 126.88473547 37.50773439, 126.88470095 37.50801244, 126.88473547 37.50829048, 126.88483771 37.50855784, 126.88500374 37.50880424, 126.88522717 37.50902021, 126.88549943 37.50919745, 126.88581004 37.50932915, 126.88614708 37.50941025, 126.88649758 37.50943764, 126.88684809 37.50941025, 126.88718512 37.50932915, 126.88749574 37.50919745, 126.88776799 37.50902021, 126.88799143 37.50880424, 126.88815745 37.50855784, 126.88825969 37.50829048, 126.88829421 37.50801244))"
서울특별시 구로구4,37.50524,126.861102,"POLYGON ((126.86289859 37.50524013, 126.86286407 37.50496208, 126.86276183 37.50469471, 126.86259581 37.50444829, 126.86237237 37.50423231, 126.86210012 37.50405506, 126.8617895 37.50392335, 126.86145247 37.50384224, 126.86110196 37.50381486, 126.86075146 37.50384224, 126.86041442 37.50392335, 126.86010381 37.50405506, 126.85983155 37.50423231, 126.85960812 37.50444829, 126.85944209 37.50469471, 126.85933985 37.50496208, 126.85930533 37.50524013, 126.85933985 37.50551819, 126.85944209 37.50578556, 126.85960812 37.50603196, 126.85983155 37.50624794, 126.86010381 37.50642519, 126.86041442 37.50655689, 126.86075146 37.506638, 126.86110196 37.50666538, 126.86145247 37.506638, 126.8617895 37.50655689, 126.86210012 37.50642519, 126.86237237 37.50624794, 126.86259581 37.50603196, 126.86276183 37.50578556, 126.86286407 37.50551819, 126.86289859 37.50524013))"
서울특별시 구로구5,37.483532,126.89423,"POLYGON ((126.89602616 37.48353232, 126.89599164 37.48325418, 126.8958894 37.48298673, 126.89572337 37.48274025, 126.89549994 37.48252421, 126.89522769 37.4823469, 126.89491707 37.48221515, 126.89458004 37.48213402, 126.89422953 37.48210663, 126.89387903 37.48213402, 126.89354199 37.48221515, 126.89323138 37.4823469, 126.89295912 37.48252421, 126.89273569 37.48274025, 126.89256966 37.48298673, 126.89246742 37.48325418, 126.8924329 37.48353232, 126.89246742 37.48381045, 126.89256966 37.4840779, 126.89273569 37.48432438, 126.89295912 37.48454042, 126.89323138 37.48471772, 126.89354199 37.48484946, 126.89387903 37.48493059, 126.89422953 37.48495798, 126.89458004 37.48493059, 126.89491707 37.48484946, 126.89522769 37.48471772, 126.89549994 37.48454042, 126.89572337 37.48432438, 126.8958894 37.4840779, 126.89599164 37.48381045, 126.89602616 37.48353232))"
서울특별시 구로구6,37.489578,126.891399,"POLYGON ((126.89319595 37.48957808, 126.89316143 37.48929996, 126.89305919 37.48903254, 126.89289316 37.48878607, 126.89266973 37.48857005, 126.89239747 37.48839276, 126.89208686 37.48826102, 126.89174982 37.48817989, 126.89139932 37.4881525, 126.89104881 37.48817989, 126.89071178 37.48826102, 126.89040116 37.48839276, 126.89012891 37.48857005, 126.88990547 37.48878607, 126.88973945 37.48903254, 126.88963721 37.48929996, 126.88960269 37.48957808, 126.88963721 37.48985619, 126.88973945 37.49012361, 126.88990547 37.49037007, 126.89012891 37.49058609, 126.89040116 37.49076338, 126.89071178 37.49089511, 126.89104881 37.49097623, 126.89139932 37.49100362, 126.89174982 37.49097623, 126.89208686 37.49089511, 126.89239747 37.49076338, 126.89266973 37.49058609, 126.89289316 37.49037007, 126.89305919 37.49012361, 126.89316143 37.48985619, 126.89319595 37.48957808))"
서울특별시 금천구1,37.45458,126.900668,"POLYGON ((126.90246465 37.45458029, 126.90243013 37.45430204, 126.90232789 37.45403449, 126.90216187 37.45378791, 126.90193843 37.45357178, 126.90166618 37.45339441, 126.90135556 37.45326261, 126.90101853 37.45318145, 126.90066802 37.45315404, 126.90031752 37.45318145, 126.89998048 37.45326261, 126.89966987 37.45339441, 126.89939761 37.45357178, 126.89917418 37.45378791, 126.89900815 37.45403449, 126.89890591 37.45430204, 126.89887139 37.45458029, 126.89890591 37.45485853, 126.89900815 37.45512608, 126.89917418 37.45537265, 126.89939761 37.45558878, 126.89966987 37.45576614, 126.89998048 37.45589794, 126.90031752 37.4559791, 126.90066802 37.4560065, 126.90101853 37.4559791, 126.90135556 37.45589794, 126.90166618 37.45576614, 126.90193843 37.45558878, 126.90216187 37.45537265, 126.90232789 37.45512608, 126.90243013 37.45485853, 126.90246465 37.45458029))"
서울특별시 금천구2,37.478951,126.891463,"POLYGON ((126.89325952 37.47895142, 126.893225 37.47867327, 126.89312276 37.4784058, 126.89295674 37.4781593, 126.8927333 37.47794324, 126.89246105 37.47776593, 126.89215043 37.47763417, 126.8918134 37.47755304, 126.89146289 37.47752564, 126.89111239 37.47755304, 126.89077535 37.47763417, 126.89046474 37.47776593, 126.89019248 37.47794324, 126.88996905 37.4781593, 126.88980302 37.4784058, 126.88970078 37.47867327, 126.88966626 37.47895142, 126.88970078 37.47922957, 126.88980302 37.47949703, 126.88996905 37.47974353, 126.89019248 37.47995958, 126.89046474 37.48013689, 126.89077535 37.48026864, 126.89111239 37.48034978, 126.89146289 37.48037717, 126.8918134 37.48034978, 126.89215043 37.48026864, 126.89246105 37.48013689, 126.8927333 37.47995958, 126.89295674 37.47974353, 126.89312276 37.47949703, 126.893225 37.47922957, 126.89325952 37.47895142))"
서울특별시 영등포구1,37.496657,126.899197,"POLYGON ((126.90099361 37.49665729, 126.90095909 37.4963792, 126.90085685 37.4961118, 126.90069082 37.49586536, 126.90046739 37.49564936, 126.90019513 37.49547208, 126.89988452 37.49534036, 126.89954748 37.49525924, 126.89919698 37.49523185, 126.89884647 37.49525924, 126.89850944 37.49534036, 126.89819882 37.49547208, 126.89792657 37.49564936, 126.89770313 37.49586536, 126.89753711 37.4961118, 126.89743487 37.4963792, 126.89740035 37.49665729, 126.89743487 37.49693538, 126.89753711 37.49720278, 126.89770313 37.49744921, 126.89792657 37.49766521, 126.89819882 37.49784248, 126.89850944 37.4979742, 126.89884647 37.49805532, 126.89919698 37.4980827, 126.89954748 37.49805532, 126.89988452 37.4979742, 126.90019513 37.49784248, 126.90046739 37.49766521, 126.90069082 37.49744921, 126.90085685 37.49720278, 126.90095909 37.49693538, 126.90099361 37.49665729))"
